complexity,hist_avg,skill,duration,label,deviation_ratio
4,8.0,1,9.846177451686485,0,1.2307721814608106
5,10.0,1,12.02259386060134,0,1.202259386060134
3,6.0,3,3.4715205353629432,0,0.5785867558938239
5,10.0,3,5.665870381746568,0,0.5665870381746567
2,4.0,2,3.5397425770852418,0,0.8849356442713104
4,8.0,1,13.457446160102604,0,1.6821807700128255
2,4.0,2,3.211306088351548,0,0.802826522087887
1,2.0,1,3.1715312933374498,0,1.5857656466687249
2,4.0,3,2.823769579797806,0,0.7059423949494515
3,6.0,3,5.247803300749034,0,0.8746338834581723
1,2.0,3,1.6703618603112453,0,0.8351809301556227
5,10.0,1,11.076536567046908,0,1.1076536567046908
4,8.0,1,16.354058515180334,0,2.0442573143975418
2,4.0,2,3.687382030677393,0,0.9218455076693483
5,10.0,2,10.736932106048627,0,1.0736932106048627
4,8.0,3,6.04159144392351,0,0.7551989304904387
3,6.0,2,5.7385454581757775,0,0.9564242430292963
2,4.0,2,3.8802493991859914,0,0.9700623497964979
2,4.0,2,3.250101267928894,0,0.8125253169822235
2,4.0,2,3.919606613391625,0,0.9799016533479062
2,4.0,2,4.682654185270071,0,1.1706635463175177
4,8.0,1,16.316951242586587,0,2.0396189053233234
5,10.0,1,13.222029930448517,0,1.3222029930448518
5,10.0,2,11.861021229056552,0,1.1861021229056552
4,8.0,1,9.492489551790026,0,1.1865611939737533
5,10.0,1,10.562618630108418,0,1.0562618630108418
1,2.0,1,2.4933286175910787,0,1.2466643087955394
3,6.0,3,4.717166100187425,0,0.7861943500312375
3,6.0,3,4.840839065637017,0,0.8068065109395027
5,10.0,2,9.43386291417709,0,0.9433862914177091
1,2.0,3,1.6640246897854718,0,0.8320123448927359
4,8.0,2,6.705312372769317,0,0.8381640465961646
5,10.0,3,7.4921529206647275,0,0.7492152920664727
3,6.0,3,4.266652656310944,0,0.711108776051824
5,10.0,3,7.882383319113584,0,0.7882383319113584
1,2.0,1,3.2474565709445526,0,1.6237282854722763
3,6.0,1,10.674536431639314,0,1.7790894052732191
2,4.0,2,3.902938402985232,0,0.975734600746308
3,6.0,3,5.079866103693158,0,0.8466443506155263
1,2.0,1,3.137827037622582,0,1.568913518811291
5,10.0,3,7.534135613689015,0,0.7534135613689015
3,6.0,1,7.667700552667725,0,1.2779500921112874
3,6.0,3,3.669544871527689,0,0.6115908119212815
2,4.0,2,4.4929926073030675,0,1.1232481518257669
1,2.0,1,3.8926380275904533,0,1.9463190137952266
4,8.0,2,9.226496828540379,0,1.1533121035675473
2,4.0,3,3.3869968639020716,0,0.8467492159755179
1,2.0,1,2.554105138087239,0,1.2770525690436194
1,2.0,1,3.8703196131731947,0,1.9351598065865974
3,6.0,1,9.265339021280056,0,1.5442231702133427
1,2.0,3,1.292423893631054,0,0.646211946815527
3,6.0,2,5.3250341269753685,0,0.8875056878292281
1,2.0,1,2.214975873986682,0,1.107487936993341
2,4.0,2,4.3140868365436615,0,1.0785217091359154
3,6.0,1,7.164062442909216,0,1.194010407151536
1,2.0,3,1.510121173747134,0,0.755060586873567
2,4.0,2,3.2528811726408775,0,0.8132202931602194
1,2.0,1,2.578288732587303,0,1.2891443662936515
2,4.0,1,6.196123482754663,0,1.5490308706886657
4,8.0,3,6.429746215241519,0,0.8037182769051898
3,6.0,1,10.784070015338004,0,1.797345002556334
5,10.0,2,10.53411884304358,0,1.0534118843043578
3,6.0,3,3.5333563585044643,0,0.5888927264174108
1,2.0,1,2.747222535141211,0,1.3736112675706056
5,10.0,3,7.490857418202374,0,0.7490857418202375
3,6.0,3,4.725407102280995,0,0.7875678503801659
3,6.0,3,3.694783543689584,0,0.6157972572815974
1,2.0,3,1.7195071927915102,0,0.8597535963957551
1,2.0,3,1.3382824646721656,0,0.6691412323360828
1,2.0,2,2.33975489462285,0,1.169877447311425
2,4.0,3,2.532544027900544,0,0.633136006975136
2,4.0,1,6.30920530768742,0,1.577301326921855
1,2.0,2,2.3970029598063394,0,1.1985014799031697
4,8.0,1,15.81147823559891,0,1.9764347794498638
3,6.0,3,4.010937198813506,0,0.6684895331355843
3,6.0,3,4.753834903430861,0,0.7923058172384768
3,6.0,2,6.671701310058298,0,1.1119502183430496
4,8.0,3,6.8752255852056265,0,0.8594031981507033
4,8.0,2,8.540762415085531,0,1.0675953018856914
3,6.0,2,7.0563202618986685,0,1.1760533769831114
1,2.0,1,2.670555627453929,0,1.3352778137269645
2,4.0,2,4.307032316308309,0,1.0767580790770772
5,10.0,1,12.229622627844392,0,1.2229622627844392
4,8.0,1,12.429195710326177,0,1.553649463790772
4,8.0,3,6.325606206085452,0,0.7907007757606815
1,2.0,3,1.3553381139580374,0,0.6776690569790187
5,10.0,3,8.454548976566763,0,0.8454548976566763
3,6.0,3,4.886037702799966,0,0.8143396171333276
1,2.0,3,1.4352113240440731,0,0.7176056620220366
5,10.0,1,15.591611150801423,0,1.5591611150801423
4,8.0,3,6.4474982766241515,0,0.8059372845780189
1,2.0,2,2.3631428616020695,0,1.1815714308010348
5,10.0,2,9.480634801021777,0,0.9480634801021777
1,2.0,1,4.01090261018247,0,2.005451305091235
1,2.0,2,2.3733238552349354,0,1.1866619276174677
3,6.0,1,6.710160637478241,0,1.1183601062463735
5,10.0,1,12.385474723963599,0,1.2385474723963599
1,2.0,3,1.2284753578790992,0,0.6142376789395496
1,2.0,2,2.3489238193286246,0,1.1744619096643123
2,4.0,3,2.9696782977143874,0,0.7424195744285969
2,4.0,3,3.507268928133458,0,0.8768172320333645
2,4.0,3,2.9034619550255836,0,0.7258654887563959
2,4.0,2,4.385229788406727,0,1.0963074471016818
1,2.0,1,3.541166894693187,0,1.7705834473465936
5,10.0,2,11.237444621914054,0,1.1237444621914054
3,6.0,2,6.880973564592249,0,1.1468289274320416
5,10.0,2,8.020739451095947,0,0.8020739451095947
4,8.0,1,9.936359293220193,0,1.242044911652524
4,8.0,3,5.345267601539932,0,0.6681584501924915
4,8.0,2,6.700742207490781,0,0.8375927759363476
3,6.0,1,7.207459688381125,0,1.201243281396854
5,10.0,2,10.363333042276043,0,1.0363333042276044
1,2.0,2,2.2580804485277266,0,1.1290402242638633
3,6.0,1,9.49879794274198,0,1.5831329904569966
5,10.0,1,15.155557680782778,0,1.5155557680782779
5,10.0,2,10.162540486440426,0,1.0162540486440426
4,8.0,1,16.386546734389803,0,2.0483183417987254
2,4.0,2,3.2657080268286016,0,0.8164270067071504
3,6.0,2,4.988295315221438,0,0.8313825525369064
5,10.0,2,11.850593658711702,0,1.1850593658711701
1,2.0,1,2.201042678657563,0,1.1005213393287816
2,4.0,1,6.000185275681395,0,1.5000463189203488
1,2.0,1,2.6622625056475613,0,1.3311312528237806
5,10.0,3,7.702756251200534,0,0.7702756251200534
5,10.0,2,10.920157266247275,0,1.0920157266247275
3,6.0,2,5.654334428763028,0,0.9423890714605047
5,10.0,2,8.057573954519023,0,0.8057573954519024
4,8.0,1,9.103386142394422,0,1.1379232677993028
4,8.0,1,12.265126258006546,0,1.5331407822508183
2,4.0,2,3.986585400186932,0,0.996646350046733
4,8.0,1,12.186086123657567,0,1.523260765457196
5,10.0,3,5.753788557430507,0,0.5753788557430507
5,10.0,2,9.043574493366856,0,0.9043574493366856
2,4.0,2,4.693498092927173,0,1.1733745232317931
1,2.0,1,3.502644640348134,0,1.751322320174067
2,4.0,1,7.767547563588816,0,1.941886890897204
3,6.0,2,6.17608090001264,0,1.0293468166687734
1,2.0,1,3.7673046876108867,0,1.8836523438054433
3,6.0,1,10.145863541433815,0,1.6909772569056358
1,2.0,1,3.435088325464199,0,1.7175441627320995
3,6.0,1,6.672814517461034,0,1.1121357529101723
2,4.0,1,4.552882716744663,0,1.1382206791861658
3,6.0,3,3.4966822050436397,0,0.5827803675072732
5,10.0,2,10.726454675891159,0,1.072645467589116
2,4.0,3,2.6007741117099523,0,0.6501935279274881
4,8.0,2,8.629558929165281,0,1.0786948661456601
5,10.0,3,8.40791044328657,0,0.8407910443286569
4,8.0,1,15.004961340801941,0,1.8756201676002426
1,2.0,2,1.9387767538464948,0,0.9693883769232474
3,6.0,1,10.805481993069755,0,1.8009136655116258
4,8.0,2,7.2000526374915355,0,0.9000065796864419
5,10.0,1,17.470385710962557,0,1.7470385710962557
1,2.0,3,1.1859992760549969,0,0.5929996380274984
1,2.0,1,3.130924934691543,0,1.5654624673457715
1,2.0,2,1.8381081396074488,0,0.9190540698037244
3,6.0,1,6.5737482517035835,0,1.095624708617264
5,10.0,1,19.210288698594134,0,1.9210288698594133
1,2.0,3,1.732352566480932,0,0.866176283240466
4,8.0,3,5.742145683895821,0,0.7177682104869776
5,10.0,1,13.449392025659872,0,1.3449392025659872
1,2.0,3,1.2561458528155065,0,0.6280729264077533
5,10.0,3,8.10014736150785,0,0.8100147361507849
5,10.0,1,15.54197116890685,0,1.554197116890685
2,4.0,1,7.226067916250598,0,1.8065169790626494
5,10.0,3,7.858660748411823,0,0.7858660748411823
4,8.0,1,14.655768455889369,0,1.8319710569861711
4,8.0,1,9.161340665341616,0,1.145167583167702
5,10.0,2,9.586606407817008,0,0.9586606407817009
3,6.0,2,5.1518515720608615,0,0.8586419286768102
5,10.0,1,12.82557195321509,0,1.282557195321509
5,10.0,1,19.555743673839537,0,1.9555743673839536
1,2.0,3,1.7009239720630696,0,0.8504619860315348
5,10.0,2,10.832724782332798,0,1.0832724782332799
3,6.0,1,8.598642562362869,0,1.4331070937271448
3,6.0,2,6.975250524227366,0,1.1625417540378944
3,6.0,1,6.310846743348696,0,1.051807790558116
4,8.0,2,6.58017048218188,0,0.822521310272735
4,8.0,1,15.165615727614089,0,1.895701965951761
1,2.0,3,1.4933560096621823,0,0.7466780048310911
1,2.0,3,1.425737530163346,0,0.712868765081673
1,2.0,1,2.5450793441204618,0,1.2725396720602309
2,4.0,1,8.19469591910378,0,2.048673979775945
5,10.0,3,8.451657963833828,0,0.8451657963833827
5,10.0,3,8.54117028889171,0,0.854117028889171
4,8.0,3,6.260252475153019,0,0.7825315593941273
1,2.0,2,1.7329723455274024,0,0.8664861727637012
1,2.0,2,1.835595157471544,0,0.917797578735772
1,2.0,1,3.5296041161967353,0,1.7648020580983677
3,6.0,3,3.4472570502555993,0,0.5745428417092665
4,8.0,2,9.441316749044987,0,1.1801645936306233
4,8.0,1,10.627811442403024,0,1.328476430300378
4,8.0,2,7.642458828767591,0,0.9553073535959489
4,8.0,2,7.2510013598855645,0,0.9063751699856956
5,10.0,1,13.103478573684331,0,1.310347857368433
3,6.0,2,4.877558282663161,0,0.8129263804438601
1,2.0,1,2.9353099794141473,0,1.4676549897070736
5,10.0,1,11.785125302326998,0,1.1785125302326998
3,6.0,1,12.108918601324795,0,2.018153100220799
3,6.0,1,10.06771082263933,0,1.6779518037732217
2,4.0,2,4.692365573366422,0,1.1730913933416054
2,4.0,3,2.2978798977359225,0,0.5744699744339806
1,2.0,2,2.2484426646254665,0,1.1242213323127332
1,2.0,3,1.5002436578253666,0,0.7501218289126833
1,2.0,2,2.2633313765652114,0,1.1316656882826057
1,2.0,1,2.212104605547203,0,1.1060523027736016
1,2.0,3,1.2056653560324053,0,0.6028326780162027
5,10.0,3,8.36711160401617,0,0.836711160401617
1,2.0,1,4.159412760435152,0,2.079706380217576
3,6.0,1,9.891333081710947,0,1.648555513618491
5,10.0,1,18.27364450124154,0,1.8273644501241542
3,6.0,1,7.7443693537369045,0,1.2907282256228174
1,2.0,2,1.8011539516094388,0,0.9005769758047194
5,10.0,1,12.555167549683787,0,1.2555167549683788
1,2.0,1,3.6545581949182364,0,1.8272790974591182
2,4.0,3,2.385353718015525,0,0.5963384295038813
2,4.0,2,4.032492321446069,0,1.0081230803615173
3,6.0,3,3.9509323003604155,0,0.6584887167267359
1,2.0,2,2.3743790123518584,0,1.1871895061759292
3,6.0,1,9.921324798138851,0,1.6535541330231418
5,10.0,1,17.049358112532122,0,1.7049358112532123
3,6.0,3,5.094050032659124,0,0.8490083387765206
4,8.0,2,7.52188018818111,0,0.9402350235226388
2,4.0,2,3.8275904721595717,0,0.9568976180398929
3,6.0,3,5.095984693427997,0,0.8493307822379995
4,8.0,1,12.596392549809629,0,1.5745490687262036
4,8.0,2,8.390677440729196,0,1.0488346800911494
3,6.0,1,12.16500869162369,0,2.027501448603948
4,8.0,2,9.365080400516781,0,1.1706350500645977
2,4.0,1,5.234296655323668,0,1.308574163830917
5,10.0,2,10.483222737688365,0,1.0483222737688365
2,4.0,1,5.02998409088662,0,1.257496022721655
3,6.0,3,3.505657589968635,0,0.5842762649947725
1,2.0,3,1.2019493369329743,0,0.6009746684664872
3,6.0,2,6.474402176872637,0,1.0790670294787728
4,8.0,1,15.78127957041802,0,1.9726599463022525
3,6.0,3,4.641710857960373,0,0.7736184763267288
2,4.0,1,4.959922318244071,0,1.2399805795610177
3,6.0,1,7.294154793570307,0,1.2156924655950512
4,8.0,2,6.96643354968559,0,0.8708041937106987
5,10.0,2,8.482543484402404,0,0.8482543484402404
1,2.0,2,2.3153738103167405,0,1.1576869051583702
1,2.0,2,1.8640796106481243,0,0.9320398053240622
3,6.0,1,6.815893258067376,0,1.135982209677896
1,2.0,2,1.6654072255590977,0,0.8327036127795489
3,6.0,3,4.08438905326478,0,0.6807315088774634
1,2.0,2,2.2946408856284695,0,1.1473204428142347
1,2.0,3,1.2380934523880816,0,0.6190467261940408
