project_id,ds,y,cap,headcount
PROJ_ALPHA,2022-12-11 17:13:34.564437,64225654,80000000000,50
PROJ_ALPHA,2022-12-12 17:13:34.564437,78662150,80000000000,50
PROJ_ALPHA,2022-12-13 17:13:34.564437,71838833,80000000000,50
PROJ_ALPHA,2022-12-14 17:13:34.564437,75713935,80000000000,50
PROJ_ALPHA,2022-12-15 17:13:34.564437,74178011,80000000000,50
PROJ_ALPHA,2022-12-16 17:13:34.564437,74149485,80000000000,50
PROJ_ALPHA,2022-12-17 17:13:34.564437,69647991,80000000000,50
PROJ_ALPHA,2022-12-18 17:13:34.564437,60889432,80000000000,50
PROJ_ALPHA,2022-12-19 17:13:34.564437,80109639,80000000000,50
PROJ_ALPHA,2022-12-20 17:13:34.564437,75512978,80000000000,50
PROJ_ALPHA,2022-12-21 17:13:34.564437,78344701,80000000000,50
PROJ_ALPHA,2022-12-22 17:13:34.564437,66168379,80000000000,50
PROJ_ALPHA,2022-12-23 17:13:34.564437,79496094,80000000000,50
PROJ_ALPHA,2022-12-24 17:13:34.564437,61800354,80000000000,50
PROJ_ALPHA,2022-12-25 17:13:34.564437,64397195,80000000000,50
PROJ_ALPHA,2022-12-26 17:13:34.564437,89221438,80000000000,50
PROJ_ALPHA,2022-12-27 17:13:34.564437,96627809,80000000000,50
PROJ_ALPHA,2022-12-28 17:13:34.564437,88791848,80000000000,50
PROJ_ALPHA,2022-12-29 17:13:34.564437,86258734,80000000000,50
PROJ_ALPHA,2022-12-30 17:13:34.564437,87281732,80000000000,50
PROJ_ALPHA,2022-12-31 17:13:34.564437,62904912,80000000000,50
PROJ_ALPHA,2023-01-01 17:13:34.564437,66703469,80000000000,50
PROJ_ALPHA,2023-01-02 17:13:34.564437,78461275,80000000000,50
PROJ_ALPHA,2023-01-03 17:13:34.564437,75134300,80000000000,50
PROJ_ALPHA,2023-01-04 17:13:34.564437,75506237,80000000000,50
PROJ_ALPHA,2023-01-05 17:13:34.564437,81137044,80000000000,50
PROJ_ALPHA,2023-01-06 17:13:34.564437,75641979,80000000000,50
PROJ_ALPHA,2023-01-07 17:13:34.564437,67280140,80000000000,50
PROJ_ALPHA,2023-01-08 17:13:34.564437,66342860,80000000000,50
PROJ_ALPHA,2023-01-09 17:13:34.564437,74171817,80000000000,50
PROJ_ALPHA,2023-01-10 17:13:34.564437,77224400,80000000000,51
PROJ_ALPHA,2023-01-11 17:13:34.564437,78445940,80000000000,51
PROJ_ALPHA,2023-01-12 17:13:34.564437,80890379,80000000000,51
PROJ_ALPHA,2023-01-13 17:13:34.564437,73771250,80000000000,51
PROJ_ALPHA,2023-01-14 17:13:34.564437,71057173,80000000000,51
PROJ_ALPHA,2023-01-15 17:13:34.564437,65931370,80000000000,51
PROJ_ALPHA,2023-01-16 17:13:34.564437,80700301,80000000000,51
PROJ_ALPHA,2023-01-17 17:13:34.564437,74528679,80000000000,51
PROJ_ALPHA,2023-01-18 17:13:34.564437,75711137,80000000000,51
PROJ_ALPHA,2023-01-19 17:13:34.564437,77607639,80000000000,51
PROJ_ALPHA,2023-01-20 17:13:34.564437,71223633,80000000000,51
PROJ_ALPHA,2023-01-21 17:13:34.564437,70383444,80000000000,51
PROJ_ALPHA,2023-01-22 17:13:34.564437,73747343,80000000000,51
PROJ_ALPHA,2023-01-23 17:13:34.564437,74885270,80000000000,51
PROJ_ALPHA,2023-01-24 17:13:34.564437,71826033,80000000000,51
PROJ_ALPHA,2023-01-25 17:13:34.564437,88800552,80000000000,51
PROJ_ALPHA,2023-01-26 17:13:34.564437,92315692,80000000000,51
PROJ_ALPHA,2023-01-27 17:13:34.564437,90978454,80000000000,51
PROJ_ALPHA,2023-01-28 17:13:34.564437,69752300,80000000000,51
PROJ_ALPHA,2023-01-29 17:13:34.564437,68497282,80000000000,51
PROJ_ALPHA,2023-01-30 17:13:34.564437,100503101,80000000000,51
PROJ_ALPHA,2023-01-31 17:13:34.564437,86323106,80000000000,51
PROJ_ALPHA,2023-02-01 17:13:34.564437,80037269,80000000000,51
PROJ_ALPHA,2023-02-02 17:13:34.564437,74341026,80000000000,51
PROJ_ALPHA,2023-02-03 17:13:34.564437,79501974,80000000000,51
PROJ_ALPHA,2023-02-04 17:13:34.564437,67867812,80000000000,51
PROJ_ALPHA,2023-02-05 17:13:34.564437,71154769,80000000000,51
PROJ_ALPHA,2023-02-06 17:13:34.564437,67330095,80000000000,51
PROJ_ALPHA,2023-02-07 17:13:34.564437,84799659,80000000000,51
PROJ_ALPHA,2023-02-08 17:13:34.564437,79613121,80000000000,51
PROJ_ALPHA,2023-02-09 17:13:34.564437,77773280,80000000000,51
PROJ_ALPHA,2023-02-10 17:13:34.564437,73811466,80000000000,51
PROJ_ALPHA,2023-02-11 17:13:34.564437,66216672,80000000000,51
PROJ_ALPHA,2023-02-12 17:13:34.564437,67018073,80000000000,51
PROJ_ALPHA,2023-02-13 17:13:34.564437,71691702,80000000000,51
PROJ_ALPHA,2023-02-14 17:13:34.564437,79092911,80000000000,51
PROJ_ALPHA,2023-02-15 17:13:34.564437,72727665,80000000000,51
PROJ_ALPHA,2023-02-16 17:13:34.564437,70586671,80000000000,51
PROJ_ALPHA,2023-02-17 17:13:34.564437,75714173,80000000000,51
PROJ_ALPHA,2023-02-18 17:13:34.564437,69150091,80000000000,51
PROJ_ALPHA,2023-02-19 17:13:34.564437,76600606,80000000000,51
PROJ_ALPHA,2023-02-20 17:13:34.564437,72268441,80000000000,51
PROJ_ALPHA,2023-02-21 17:13:34.564437,71962152,80000000000,51
PROJ_ALPHA,2023-02-22 17:13:34.564437,73089176,80000000000,51
PROJ_ALPHA,2023-02-23 17:13:34.564437,80335937,80000000000,51
PROJ_ALPHA,2023-02-24 17:13:34.564437,82377325,80000000000,51
PROJ_ALPHA,2023-02-25 17:13:34.564437,69497186,80000000000,51
PROJ_ALPHA,2023-02-26 17:13:34.564437,72001495,80000000000,51
PROJ_ALPHA,2023-02-27 17:13:34.564437,87792636,80000000000,51
PROJ_ALPHA,2023-02-28 17:13:34.564437,89718001,80000000000,51
PROJ_ALPHA,2023-03-01 17:13:34.564437,73882221,80000000000,51
PROJ_ALPHA,2023-03-02 17:13:34.564437,76257003,80000000000,51
PROJ_ALPHA,2023-03-03 17:13:34.564437,79756845,80000000000,51
PROJ_ALPHA,2023-03-04 17:13:34.564437,67928268,80000000000,51
PROJ_ALPHA,2023-03-05 17:13:34.564437,69723406,80000000000,51
PROJ_ALPHA,2023-03-06 17:13:34.564437,75615765,80000000000,51
PROJ_ALPHA,2023-03-07 17:13:34.564437,74642433,80000000000,51
PROJ_ALPHA,2023-03-08 17:13:34.564437,74633361,80000000000,51
PROJ_ALPHA,2023-03-09 17:13:34.564437,74470665,80000000000,51
PROJ_ALPHA,2023-03-10 17:13:34.564437,72106698,80000000000,51
PROJ_ALPHA,2023-03-11 17:13:34.564437,65815186,80000000000,50
PROJ_ALPHA,2023-03-12 17:13:34.564437,67873023,80000000000,50
PROJ_ALPHA,2023-03-13 17:13:34.564437,80638272,80000000000,50
PROJ_ALPHA,2023-03-14 17:13:34.564437,76406580,80000000000,50
PROJ_ALPHA,2023-03-15 17:13:34.564437,70832540,80000000000,50
PROJ_ALPHA,2023-03-16 17:13:34.564437,76738889,80000000000,50
PROJ_ALPHA,2023-03-17 17:13:34.564437,76076611,80000000000,50
PROJ_ALPHA,2023-03-18 17:13:34.564437,74302497,80000000000,50
PROJ_ALPHA,2023-03-19 17:13:34.564437,65415050,80000000000,50
PROJ_ALPHA,2023-03-20 17:13:34.564437,75245527,80000000000,50
PROJ_ALPHA,2023-03-21 17:13:34.564437,77795874,80000000000,50
PROJ_ALPHA,2023-03-22 17:13:34.564437,77045104,80000000000,50
PROJ_ALPHA,2023-03-23 17:13:34.564437,75149764,80000000000,50
PROJ_ALPHA,2023-03-24 17:13:34.564437,68188478,80000000000,50
PROJ_ALPHA,2023-03-25 17:13:34.564437,71202080,80000000000,50
PROJ_ALPHA,2023-03-26 17:13:34.564437,65779194,80000000000,50
PROJ_ALPHA,2023-03-27 17:13:34.564437,84202148,80000000000,50
PROJ_ALPHA,2023-03-28 17:13:34.564437,96670377,80000000000,50
PROJ_ALPHA,2023-03-29 17:13:34.564437,90092093,80000000000,50
PROJ_ALPHA,2023-03-30 17:13:34.564437,85157581,80000000000,50
PROJ_ALPHA,2023-03-31 17:13:34.564437,88103998,80000000000,50
PROJ_ALPHA,2023-04-01 17:13:34.564437,64549413,80000000000,50
PROJ_ALPHA,2023-04-02 17:13:34.564437,67794667,80000000000,50
PROJ_ALPHA,2023-04-03 17:13:34.564437,71084988,80000000000,50
PROJ_ALPHA,2023-04-04 17:13:34.564437,78859545,80000000000,50
PROJ_ALPHA,2023-04-05 17:13:34.564437,65836767,80000000000,50
PROJ_ALPHA,2023-04-06 17:13:34.564437,81141263,80000000000,50
PROJ_ALPHA,2023-04-07 17:13:34.564437,77343518,80000000000,50
PROJ_ALPHA,2023-04-08 17:13:34.564437,67270292,80000000000,50
PROJ_ALPHA,2023-04-09 17:13:34.564437,68053691,80000000000,50
PROJ_ALPHA,2023-04-10 17:13:34.564437,79497363,80000000000,49
PROJ_ALPHA,2023-04-11 17:13:34.564437,75763330,80000000000,49
PROJ_ALPHA,2023-04-12 17:13:34.564437,75280928,80000000000,49
PROJ_ALPHA,2023-04-13 17:13:34.564437,72642037,80000000000,49
PROJ_ALPHA,2023-04-14 17:13:34.564437,69642671,80000000000,49
PROJ_ALPHA,2023-04-15 17:13:34.564437,71900647,80000000000,49
PROJ_ALPHA,2023-04-16 17:13:34.564437,67231690,80000000000,49
PROJ_ALPHA,2023-04-17 17:13:34.564437,71858270,80000000000,49
PROJ_ALPHA,2023-04-18 17:13:34.564437,67122902,80000000000,49
PROJ_ALPHA,2023-04-19 17:13:34.564437,81434255,80000000000,49
PROJ_ALPHA,2023-04-20 17:13:34.564437,77412221,80000000000,49
PROJ_ALPHA,2023-04-21 17:13:34.564437,68787752,80000000000,49
PROJ_ALPHA,2023-04-22 17:13:34.564437,59862698,80000000000,49
PROJ_ALPHA,2023-04-23 17:13:34.564437,62671347,80000000000,49
